celltype,markers_total,markers_present,nonspecific_present_removed,markers_used,used_for_annotation,excluded_reason,removed_nonspecific_markers
Epithelial cells,113,111,0,111,True,,
Alveolar type I cells,10,10,0,10,True,,
Alveolar type II cells,14,14,0,14,True,,
Basal cells,7,7,0,7,True,,
Ciliated cells,18,18,0,18,True,,
Club cells,5,4,0,4,True,,
Epithelial-mesenchymal transition cells,3,3,0,3,True,,
Goblet cells,8,8,0,8,True,,
Ionocytes,3,3,0,3,True,,
Mesothelial cells,5,5,0,5,True,,
Neuroendocrine cells,11,11,0,11,True,,
Tuft cells,2,2,0,2,False,fewer than 3 usable present markers after nonspecific-gene filtering,
Immune cells,472,466,2,464,True,,ACTB;JUNB
B cells,69,68,1,67,True,,ACTB
Follicular B cells,9,9,0,9,True,,
Mature B cells,3,3,0,3,True,,
Memory B cells,8,8,0,8,True,,
Naive B cells,8,8,0,8,True,,
Plasma cells,28,27,0,27,True,,
Recently activated B cells,1,1,1,0,False,fewer than 3 usable present markers after nonspecific-gene filtering,ACTB
Erythrocytes,16,16,0,16,True,,
Granulocytes,26,26,0,26,True,,
Basophils,4,4,0,4,True,,
Eosinophils,4,4,0,4,True,,
Neutrophils,16,16,0,16,True,,
Mast cells,16,16,0,16,True,,
Megakaryocytes,4,4,0,4,True,,
Mononuclear phagocytes,177,176,0,176,True,,
Conventional dendritic cells,48,48,0,48,True,,
Conventional type 1 dendritic cells,13,13,0,13,True,,
Conventional type 2 dendritic cells,22,22,0,22,True,,
Mature dendritic cells,4,4,0,4,True,,
Langerhans cells,4,4,0,4,True,,
Macrophages,116,115,0,115,True,,
Alveolar macrophages,9,9,0,9,True,,
M1 macrophages,21,21,0,21,True,,
M2 macrophages,21,21,0,21,True,,
Perivascular macrophages,1,1,0,1,False,fewer than 3 usable present markers after nonspecific-gene filtering,
Monocytes,42,42,0,42,True,,
Classical monocytes,11,11,0,11,True,,
Intermediate monocytes,3,3,0,3,True,,
Non-classical monocytes,6,6,0,6,True,,
Natural killer cells,51,50,0,50,True,,
Plasmacytoid dendritic cells,27,26,0,26,True,,
Platelets,5,4,0,4,True,,
T cells,172,171,1,170,True,,JUNB
Activated T cells,8,8,0,8,True,,
Antigen-specific CD8+ T cells,1,1,0,1,False,fewer than 3 usable present markers after nonspecific-gene filtering,
CD4+ central memory T cells,2,2,0,2,False,fewer than 3 usable present markers after nonspecific-gene filtering,
CD4+ effector T cells,1,1,0,1,False,fewer than 3 usable present markers after nonspecific-gene filtering,
CD4+ effector memory T cells,3,3,0,3,True,,
CD4+ exhausted T cells,5,5,0,5,True,,
CD4+ memory T cells,3,3,0,3,True,,
CD4+ naive T cells,5,5,0,5,True,,
CD4+ tissue-resident memory T cells,3,3,0,3,True,,
"CD4-positive, alpha-beta T cells",9,9,0,9,True,,
CD8+ activated T cells,4,4,0,4,True,,
CD8+ effector T cells,12,12,0,12,True,,
CD8+ effector memory T cells,7,7,0,7,True,,
CD8+ exhausted T cells,5,5,0,5,True,,
CD8+ memory T cells,1,1,0,1,False,fewer than 3 usable present markers after nonspecific-gene filtering,
CD8+ mucosal-associated invariant T cells,2,2,0,2,False,fewer than 3 usable present markers after nonspecific-gene filtering,
CD8+ naive T cells,5,5,0,5,True,,
CD8+ tissue-resident memory T cells,4,4,0,4,True,,
"CD8-positive, alpha-beta T cells",27,27,1,26,True,,JUNB
Central memory T cells,7,7,0,7,True,,
Effector T cells,17,17,0,17,True,,
Effector memory T cells,1,1,0,1,False,fewer than 3 usable present markers after nonspecific-gene filtering,
Exhausted T cells,20,19,0,19,True,,
Follicular helper T cells,11,11,0,11,True,,
Gamma delta T cells,8,8,0,8,True,,
Helper T cells,6,6,0,6,True,,
Memory T cells,10,10,0,10,True,,
Mucosal-associated invariant T cells,11,11,0,11,True,,
NK T cells,17,17,0,17,True,,
Naive T cells,11,11,0,11,True,,
Regulatory T cells,29,29,0,29,True,,
T-helper 1 cells,18,18,0,18,True,,
T-helper 17 cells,15,15,0,15,True,,
T-helper 2 cells,9,9,0,9,True,,
Tissue-resident memory T cells,29,29,0,29,True,,
Stem cells,105,104,0,104,True,,
Mesenchymal stem cells,65,64,0,64,True,,
Stromal cells,294,292,2,290,True,,ACTB;DUSP1
Endothelial cells,109,108,1,107,True,,DUSP1
Arterial endothelial cells,10,10,0,10,True,,
Capillary endothelial cells,7,7,0,7,True,,
Endothelial tip cells,3,3,0,3,True,,
Lymphatic endothelial cells,16,16,0,16,True,,
Vascular endothelial cells,7,7,0,7,True,,
Venous endothelial cells,7,7,0,7,True,,
Fibroblasts,108,108,1,107,True,,ACTB
Mural cells,60,59,0,59,True,,
Pericytes,34,33,0,33,True,,
Smooth muscle cells,33,33,0,33,True,,
Myofibroblasts,23,23,0,23,True,,
